Chart Number,Bird Species,Admission Date,When Captured,Age,Sex,Address - Captured,City - Captured,Injury Cause,Status
2016-06976,Northern Cardinal,23.08.2016,8/22/16 5 PM,F,UNK,1232 Elmdale,Chicago,Orphaned,Released
2016-06977,American Crow,23.08.2016,8/22/16,UNK,UNK,,Chicago,Collision - building,Euthanized after 24 hours
2016-06980,Chestnut-sided Warbler,23.08.2016,8/23/16 6:18 AM,YoY,F,350 N. LaSalle (S sd),Chicago,Collision - building,Died within 24 hours
2016-06981,Sora,23.08.2016,8/22/16 5 PM,UNK,UNK,7500 N. Ashland,Chicago,Collision - building,Euthanized after 24 hours
2016-06993,American Crow,23.08.2016,8/23/16 1 PM,YoY,UNK,3 Corey DR,South Barrington,Unknown,Euthanized within 24 hour of admit
2016-07003,Red-tailed Hawk,24.08.2016,8/23/16 8:30 PM,A,UNK,unknown,Crete,Unknown,Euthanized within 24 hour of admit
2016-07011,Cedar Waxwing,24.08.2016,8/23/16 6 PM,A,UNK,"1 N Dearborn, no side",Chicago,Collision - building,Released
2016-07012,Mouring Dove,24.08.2016,8/23/16 4 PM,A,UNK,"Stare and Scott, no side",Chicago,Collision - building,Released
2016-07016,Double-crested Cormorant,24.08.2016,8/24/16 12 PM,YoY,UNK,Fullerton & Lake Shore Dr,Chicago,Unknown,Euthanized within 24 hour of admit
2016-07017,Mallard,24.08.2016,8/24/16,YoY,F,1290 Briarbrook Dr,Wheaton,Unknown,Euthanized after 24 hours
2016-07018,Canada Goose,24.08.2016,8/24/16 1 PM,A,UNK,630 S Quentin Rd.,Palatine,Unknown,Euthanized within 24 hour of admit
2016-07022,Mouring Dove,24.08.2016,8/24/16,YoY,UNK,6427 North Ave,Oak Park,Unknown,Euthanized within 24 hour of admit
2016-07045,American Kestrel,25.08.2016,8/24/16 3:30 AM,F,F,1100 N Lasalle,Chicago,Orphaned,Euthanized after 24 hours
2016-07047,Northern Cardinal,25.08.2016,8/24/16 3:30 AM,N,UNK,1100 N. LaSalle,Chicago,Collision - car,Euthanized within 24 hour of admit
2016-07050,American Crow,25.08.2016,not given,YoY,UNK,Unknown,,Unknown,Euthanized within 24 hour of admit
2016-07051,Tennessee Warbler,25.08.2016,8/25/16 9:40 AM,A,UNK,300 S Wacker - N,Chicago,Collision - building,Released
2016-07052,Cedar Waxwing,25.08.2016,8/25/16 7 AM,A,M,CTA - SW,Chicago,Collision - building,Transferred
2016-07053,Tennessee Warbler,25.08.2016,8/25/16 6:20 AM,YoY,UNK,PRU - NS,Chicago,Collision - building,Died before exam
2016-07057,Black-and-White Warbler,25.08.2016,8/25/16 10 AM,YoY,M,200 S. Michigan,Chicago,Unknown,Released
2016-07061,Tennessee Warbler,25.08.2016,8/25/16,A,UNK,311 Wacker,Chicago,Unknown,Released
2016-07062,Tennessee Warbler,25.08.2016,8/25/16,A,UNK,353 N. Clark,Chicago,Unknown,Released
2016-07070,Great Horned Owl,25.08.2016,8/25/16,A,UNK,(Spring Lake Cemetery) Lincoln Ave,Aurora,Unknown,Euthanized after 24 hours
2016-07082,Red-tailed Hawk,26.08.2016,8/26/16 10 AM,YoY,UNK,1007 S. Naperville,Wheaton,Unknown,Released
2016-07083,Belted Kingfisher,26.08.2016,8/25/16 6 AM,A,F,555 W. Monroe,Chicago,Unknown,Released
2016-07084,Mallard,26.08.2016,8/25/16 8 PM,A,F,Navy Pier (just south of it),Chicago,Unknown,Released
2016-07093,Swainson's Thrush,26.08.2016,8/25/16 1:30 PM,UNK,UNK,S. Hirsch & Ridge,Evanston,Unknown,Died before exam
2016-07094,Red-breasted Nuthatch,26.08.2016,8/26/16 9 AM,UNK,M,Wacker & Madison,Chicago,Unknown,Released
2016-07095,Black-and-White Warbler,26.08.2016,8/26/16 6:50 AM,A,F,S. Wacker,Chicago,Unknown,Released
2016-07096,Tennessee Warbler,26.08.2016,8/26/16 8 AM,A,UNK,200 W. Madison,Chicago,Unknown,Released
2016-07133,Ovenbird,27.08.2016,8/26/16 4 PM,YoY,UNK,Sears Tower,Chicago,Unknown,Released
2016-07134,Magnolia Warbler,27.08.2016,8/27/16 7:30 AM,YoY,UNK,230 W. Monroe,Chicago,Unknown,Released
2016-07146,Canada Goose,28.08.2016,8/27/16 6:30 PM,UNK,UNK,McCormick Place,Chicago,Unknown,Euthanized within 24 hour of admit
2016-07148,American Goldfinch,28.08.2016,8/28/16 AM,UNK,UNK,Herrick Lake,Warrenville,Unknown,Dead on arrival
2016-07156,Northern Cardinal,28.08.2016,not given,UNK,F,no notes left,,Entanglement - glue,Died after 24 hrs
2016-07160,Red-eyed Vireo,28.08.2016,8/27/16 1 PM,A,UNK,729 W. Buckingham Pl,Chicago,Collision - building,Released
2016-07161,Tennessee Warbler,28.08.2016,8/28/16 6:49 AM,YoY,UNK,333 E Benton (N sd),Chicago,Collision - building,Died after 24 hrs
2016-07162,Ovenbird,28.08.2016,8/28/16 6:15 AM,UNK,UNK,300 S. Wacker (E sd),Chicago,Collision - building,Released
2016-07164,Canada Goose,28.08.2016,8/28/16 11 AM,YoY,UNK,1 Logan,Batavia,Unknown,Released
2016-07165,Canada Goose,28.08.2016,8/28/16 11 AM,YoY,UNK,1 Logan,Batavia,Unknown,Euthanized within 24 hour of admit
2016-07176,House Finch,28.08.2016,8/28/16,YoY,UNK,1232 Balina Rd,Crystal Lake,Unknown,Died before exam
2016-07181,Red-tailed Hawk,28.08.2016,8/28/16,A,UNK,"Ruth Lake Golf Course, Madison",Hinsdale,Gunshot,Released
2016-07200,Mouring Dove,29.08.2016,8/28/16 PM,N,UNK,,Huntley,Orphaned,Released
2016-07213,American Robin,29.08.2016,8/28/16 7 PM,YoY,UNK,4343 N Drake,Chicago,Collision - building,Euthanized within 24 hour of admit
2016-07214,Ovenbird,29.08.2016,8/29/16 8 AM,YoY,UNK,"Hyatt Center, Arcade Alley",Chicago,Collision - building,Released
2016-07215,Chestnut-sided Warbler,29.08.2016,8/29/16 9 AM,YoY,UNK,"111 S Wacker, west side",Chicago,Collision - building,Released
2016-07216,Magnolia Warbler,29.08.2016,8/29/16 6:20 AM,YoY,M,"10 S Riverside, NW corner",Chicago,Collision - building,Released
2016-07218,House Finch,29.08.2016,8/28/16 2 PM,J,UNK,715 Vernon Ave,Glencoe,Collision - building,Euthanized after 24 hours
2016-07222,Chestnut-sided Warbler,29.08.2016,8/29/16 9:10 AM,A,F,"230 S Dearborn, N Side",Chicago,Collision - building,Released
2016-07234,Ring-billed Gull,30.08.2016,8/29/16 5:30 PM,UNK,UNK,Grosse Pointe L. H. Beach,Evanston,Unknown,Euthanized after 24 hours
2016-07235,Northern Cardinal,30.08.2016,8/29/16 5:15 PM,F,UNK,Monroe and Racine,Chicago,Unknown,Released
2016-07236,American Redstart,30.08.2016,8/29/16 5 PM,UNK,UNK,437 W Division,Chicago,Unknown,Died within 24 hours
2016-07237,Swainson's Thrush,30.08.2016,8/30/16 6:30 AM,YoY,UNK,"10 S Riverside, north side",Chicago,Collision - building,Released
2016-07266,Common Nighthawk,31.08.2016,8/31/16 10 AM,UNK,UNK,4426 N. Maplewood,Chicago,Unknown,Euthanized after 24 hours
2016-07267,Canada Warbler,31.08.2016,8/31/16 8:20 AM,A,M,Larrabie,Chicago,Unknown,Released
2016-07269,Black-and-White Warbler,31.08.2016,8/31/16 7:30 AM,A,F,111 W. Walker,Chicago,Unknown,Released
2016-07270,Ovenbird,31.08.2016,8/31/16 6:40 AM,A,UNK,Hyatt Center,Chicago,Unknown,Released
2016-07271,Magnolia Warbler,31.08.2016,8/31/16 7:20 AM,UNK,UNK,Kluczynski,Chicago,Unknown,Died within 24 hours
2016-07275,Tennessee Warbler,31.08.2016,8/31/16,A,UNK,111 S Wacker N,Chicago,Collision - building,Released
2016-07276,Nashville Warbler,31.08.2016,8/31/16 7:25 AM,YoY,UNK,111 W Wacker Dr. - N,Chicago,Collision - building,Released
2016-07277,Magnolia Warbler,31.08.2016,8/31/16 6:32 AM,YoY,UNK,Kluczynski,Chicago,Collision - building,Released
2016-07278,Bay-breasted Warbler,31.08.2016,8/31/16 7:10 AM,YoY,M,Harris Bank Bldg - W,Chicago,Collision - building,Released
2016-07279,Blackpoll Warbler,31.08.2016,8/31/16 8:15 AM,YoY,UNK,303 E. Wacker,Chicago,Collision - building,Released
2016-07280,American Redstart,31.08.2016,8/31/16 8:30 AM,YoY,M,Blue Cross (S sd),Chicago,Collision - building,Released
2016-07281,Blackpoll Warbler,31.08.2016,8/31/16 7 AM,YoY,UNK,Bluecross (S sd),Chicago,Collision - building,Released
2016-07282,Chimney Swift,31.08.2016,8/31/16 8 AM,A,UNK,Hyatt Ctr (S sd),Chicago,Collision - building,Released
2016-07284,Magnolia Warbler,31.08.2016,8/31/16 1:30 PM,UNK,UNK,71 S. Wakcer/Hyatt Garage,Chicago,Unknown,Died after 24 hrs
2016-07286,Red-tailed Hawk,31.08.2016,8/31/16,YoY,UNK,7000 W. 73rd St,Bridgeview,Gunshot,Released
2016-07287,Caspian Tern,31.08.2016,8/31/16 1:15 PM,YoY,UNK,Water filtration System,Chicago,Unknown,Euthanized after 24 hours
2016-07289,Nashville Warbler,31.08.2016,8/31/16 12 PM,UNK,UNK,Gold Coast Neighborhood,Chicago,Unknown,Died within 24 hours
2016-07290,Sora,31.08.2016,8/31/16 2 PM,UNK,UNK,2345 W. Wood,Chicago,Unknown,Euthanized within 24 hour of admit
2016-07301,Cedar Waxwing,01.09.2016,8/31/16,YoY,UNK,4221 Huntington,Hoffman Estates,Unknown,Euthanized after 24 hours
2016-07304,Bay-breasted Warbler,01.09.2016,9/1/16 6:45 AM,YoY,UNK,BCBC - NW,Chicago,Collision - building,Released
2016-07305,Nashville Warbler,01.09.2016,9/1/16 5:45 AM,UNK,UNK,Hyatt Hotel - South,Chicago,Collision - building,Died after 24 hrs
2016-07306,Connecticut Warbler,01.09.2016,9/1/16 8:38 AM,YoY,UNK,(Hyatt Center) 1 N Wacker SE,Chicago,Collision - building,Released
2016-07307,Ovenbird,01.09.2016,9/1/16 6:35 AM,YoY,UNK,(Hyatt Center) 1 N Wacker SE,Chicago,Collision - building,Released
2016-07308,Sora,01.09.2016,8/31/16 8 AM,A,UNK,5850 N Miltimore Ave.,Chicago,Collision - building,Died after 24 hrs
2016-07312,Ovenbird,01.09.2016,9/1/16 7:30 AM,A,UNK,10 S Riverside - East,Chicago,Collision - building,Released
2016-07313,Ovenbird,01.09.2016,9/1/16 5:40 AM,A,UNK,230 W monroe - West,Chicago,Collision - building,Released
2016-07314,Chestnut-sided Warbler,01.09.2016,9/1/16 6:28 AM,YoY,UNK,333 Benton - N,Chicago,Collision - building,Released
2016-07315,Blackburnian Warbler,01.09.2016,9/1/16 6:50 AM,YoY,UNK,Arcadie Alley,Chicago,Collision - building,Released
2016-07316,Blackpoll Warbler,01.09.2016,9/1/16 6:15 AM,UNK,UNK,311 S Wacker - N,Chicago,Collision - building,Released
2016-07317,Blackpoll Warbler,01.09.2016,9/1/16 7:40 AM,YoY,UNK,UBS - South,Chicago,Collision - building,Released
2016-07318,Red-breasted Nuthatch,01.09.2016,9/1/16 5:33 AM,A,M,Arcade Alley,Chicago,Collision - building,Released
2016-07319,Nashville Warbler,01.09.2016,9/1/16 7 AM,A,F,(Thompson Center) 100 W Randolph- S SD BLDG,Chicago,Collision - building,Released
2016-07320,Canada Warbler,01.09.2016,9/1/16 5:30 AM,YoY,F,Arcade Alley,Chicago,Collision - building,Released
2016-07321,Red-breasted Nuthatch,01.09.2016,9/1/16 6:45 AM,YoY,M,155 West Wacker - S,Chicago,Collision - building,Released
2016-07322,Nashville Warbler,01.09.2016,9/1/16 6:35 AM,YoY,UNK,Chicago Merchandise - E,Chicago,Collision - building,Released
2016-07329,Mallard,01.09.2016,9/1/16,UNK,F,101 Villa Way,Bloomingdale,Unknown,Euthanized after 24 hours
2016-07340,Northern Cardinal,02.09.2016,9/2/16,A,M,,Melrose Park,Unknown,Died within 24 hours
2016-07348,Bay-breasted Warbler,02.09.2016,9/2/16 8 AM,UNK,UNK,303 E. Wacker,Chicago,Unknown,Died after 24 hrs
2016-07349,Bay-breasted Warbler,02.09.2016,9/2/16 8:30 AM,YoY,UNK,15 N Wacker,Chicago,Unknown,Died within 24 hours
2016-07352,Red-tailed Hawk,02.09.2016,9/1/16 11:30 PM,YoY,UNK,"@ tracks crossing Harris, East",Hillside,Collision - other,Died after 24 hrs
2016-07360,Red-breasted Nuthatch,02.09.2016,9/2/16 8 AM,YoY,M,330 N Wabash,Chicago,Collision - building,Released
2016-07361,Common Yellowthroat,02.09.2016,9/2/16 9:15 AM,YoY,UNK,Kluczyuski,Chicago,Collision - building,Released
2016-07362,Palm Warbler,02.09.2016,9/2/16,YoY,UNK,200 S. Wacker,Chicago,Collision - building,Released
2016-07363,Red-breasted Nuthatch,02.09.2016,9/2/16,A,M,2 N. LaSalle,Chicago,Collision - building,Released
2016-07364,Chestnut-sided Warbler,02.09.2016,9/2/16,YoY,M,1827 W. Estes North,Chicago,Collision - building,Released
2016-07365,Rose-breasted Grosbeak,02.09.2016,9/2/16,YoY,M,123 N. Wacker,Chicago,Collision - building,Released
2016-07366,Wilson's Warbler,02.09.2016,9/2/16,A,M,Swiss Hotel,Chicago,Collision - building,Released
2016-07383,Ruby-throated Hummingbird,03.09.2016,9/2/16 10 AM,YoY,UNK,303 E. Walker,Chicago,Unknown,Died after 24 hrs
2016-07384,Blackpoll Warbler,03.09.2016,9/3/16,YoY,UNK,,Chicago,Unknown,Euthanized after 24 hours
2016-07386,Swainson's Thrush,03.09.2016,9/3/16,UNK,UNK,233 Michigan Plaza,Chicago,Unknown,Released
2016-07387,Nashville Warbler,03.09.2016,9/3/16,YoY,M,225 N. Wacker,Chicago,Unknown,Released
2016-07415,Great Blue Heron,04.09.2016,9/3/16,UNK,UNK,Teal Bay,Aurora,Unknown,Euthanized within 24 hour of admit
2016-07416,Mallard,04.09.2016,9/4/16 11 AM,A,M,Target,Villa Park,Unknown,Released
2016-07419,Red-tailed Hawk,04.09.2016,9/4/16 11:30 AM,YoY,UNK,392 S. Woodside Dr,Wood Dale,Unknown,Euthanized within 24 hour of admit
2016-07428,American Crow,04.09.2016,9/4/16 10:30 AM,UNK,UNK,"737 W Wellington, no corner",Chicago,Unknown,Euthanized after 24 hours
2016-07429,Swainson's Thrush,04.09.2016,9/3/16 5 PM,YoY,UNK,6059 N. Monard,Chicago,Collision - building,Released
2016-07430,Black-throated Blue Warbler,04.09.2016,9/4/16 6:45 AM,YoY,M,Dearborn/Monroe (NW sd),Chicago,Collision - building,Released
2016-07448,Nashville Warbler,05.09.2016,9/5/16 7:30 AM,YoY,F,"118 N Jefferson, west side",Chicago,Collision - building,Died after 24 hrs
2016-07449,Bay-breasted Warbler,05.09.2016,9/5/16 7:30 AM,YoY,M,"400 E S Water, south side",Chicago,Collision - building,Died after 24 hrs
2016-07450,Mouring Warbler,05.09.2016,9/5/16 6:30 AM,YoY,UNK,"10 S Riverside, east side",Chicago,Collision - building,Died after 24 hrs
2016-07451,Hooded Warbler,05.09.2016,9/5/16 8:52 AM,YoY,M,"330 S Wacker, north side",Chicago,Collision - building,Died after 24 hrs
2016-07464,Tennessee Warbler,05.09.2016,9/5/16 8:05 AM,UNK,UNK,"150 S Walker, north side",Chicago,Collision - building,Released
2016-07485,Double-crested Cormorant,06.09.2016,9/5/16 AM,YoY,UNK,Fullerton/Lake Michigan,Chicago,Unknown,Euthanized within 24 hour of admit
2016-07486,American Redstart,06.09.2016,9/6/16 7:20 AM,A,F,"233 N Michigan, north side",Chicago,Collision - building,Released
2016-07487,Cedar Waxwing,06.09.2016,9/6/16 8:45 AM,YoY,UNK,Klyzynski (W sd),Chicago,Collision - building,Released
2016-07488,Cedar Waxwing,06.09.2016,9/6/16 7:30 AM,A,M,1 S. Wacker (SW corner),Chicago,Collision - building,Released
2016-07489,Blackpoll Warbler,06.09.2016,9/6/16 6:16 AM,YoY,UNK,Blue Cross (NW corner),Chicago,Collision - building,Released
2016-07490,Cedar Waxwing,06.09.2016,9/6/16 7 AM,A,F,Metcalfe Bld,Chicago,Collision - building,Died after 24 hrs
2016-07506,Cedar Waxwing,07.09.2016,9/5/16,F,UNK,Forest Preserve Rd & Cumberland,Chicago,Unknown,Died within 24 hours
2016-07512,Sharp-shinned Hawk,07.09.2016,9/6/16 9 PM,UNK,UNK,"333 W Wacker, se corner",Chicago,Collision - building,Released
2016-07513,Tennessee Warbler,07.09.2016,9/7/16,A,UNK,BCBS - NE,Chicago,Collision - building,Released
2016-07514,Magnolia Warbler,07.09.2016,9/7/16 6:15 AM,A,UNK,(Post Office) Kulzynski /Corridee - SW,Chicago,Collision - building,Released
2016-07517,Magnolia Warbler,07.09.2016,9/7/16 6:20 AM,A,M,30 N Wacker - E,Chicago,Collision - building,Released
2016-07518,Tennessee Warbler,07.09.2016,9/7/16 7:30 AM,A,UNK,333 W Wacker - NE,Chicago,Collision - building,Released
2016-07521,Cedar Waxwing,07.09.2016,9/7/16 1:30 PM,A,F,185 N Franklin,Chicago,Unknown,Released
2016-07522,Blackburnian Warbler,07.09.2016,9/7/16 11:30 AM,YoY,F,111 S. Wacker,Chicago,Unknown,Died after 24 hrs
2016-07535,Blackburnian Warbler,08.09.2016,9/8/16 8 AM,A,F,340 E Randolph,Chicago,Unknown,Released
2016-07536,Swainson's Thrush,08.09.2016,9/8/16 6:35 AM,A,UNK,1 South Wacker,Chicago,Unknown,Released
2016-07537,Ovenbird,08.09.2016,9/8/16 8 AM,UNK,UNK,BCBS,Chicago,Unknown,Died after 24 hrs
2016-07539,Tennessee Warbler,08.09.2016,9/8/16 6:45 AM,A,UNK,120 S. Riverside,Chicago,Unknown,Released
2016-07541,Swainson's Thrush,08.09.2016,9/8/16 7:30 AM,A,UNK,Franklin St,Chicago,Unknown,Released
2016-07542,Tennessee Warbler,08.09.2016,9/8/16 9 PM,A,UNK,225 N. Michigan,Chicago,Unknown,Released
2016-07543,Red-tailed Hawk,08.09.2016,9/8/16 2 PM,A,UNK,6201 W. 115th St,Alsip,Entanglement- other,Released
2016-07544,Blackburnian Warbler,08.09.2016,9/8/16 7:30 AM,A,F,353 N. Clark,Chicago,Unknown,Released
2016-07545,Tennessee Warbler,08.09.2016,9/8/16,A,UNK,303 E Wacker,Chicago,Unknown,Released
2016-07546,Swainson's Thrush,08.09.2016,9/8/16 6:20 AM,A,UNK,300 S. Riverside North,Chicago,Unknown,Released
2016-07563,American Kestrel,09.09.2016,9/9/16 9:30 AM,YoY,F,1525 N Dearborn -E,Chicago,Unknown,Released
2016-07564,Mallard,09.09.2016,9/9/16,A,F,??,Chicago,Unknown,Euthanized within 24 hour of admit
2016-07569,Swainson's Thrush,09.09.2016,9/9/16 6:45 AM,A,UNK,233 Michigan Plaza,Chicago,Unknown,Euthanized within 24 hour of admit
2016-07570,Swainson's Thrush,09.09.2016,9/9/16 8 AM,A,UNK,1 S. Walker,Chicago,Unknown,Released
2016-07571,Blackpoll Warbler,09.09.2016,9/9/16 5:50 AM,YoY,UNK,Willis Tower,Chicago,Unknown,Released
2016-07572,Ovenbird,09.09.2016,9/8/16 3 PM,A,UNK,1744 Hermitage Ave,Chicago,Unknown,Died within 24 hours
2016-07575,Red-breasted Nuthatch,09.09.2016,9/9/16 8:25 AM,A,M,205 Michigan Plaza,Chicago,Entanglement- other,Released
2016-07576,Mouring Warbler,09.09.2016,9/9/16 5:40 AM,YoY,UNK,3 S. Wacker,Chicago,Unknown,Released
2016-07578,American Redstart,09.09.2016,9/9/16 6:15 AM,YoY,M,Arcade Alley,Chicago,Unknown,Released
2016-07579,Magnolia Warbler,09.09.2016,9/9/16,YoY,UNK,303 W. Wacker,Chicago,Collision - building,Released
2016-07580,Golden-crowned Kinglet,09.09.2016,9/9/16,YoY,UNK,233 N. Michigan Plaza,Chicago,Collision - building,Released
2016-07581,American Redstart,09.09.2016,9/9/16,YoY,M,,Chicago,Collision - building,Released
2016-07582,Chestnut-sided Warbler,09.09.2016,9/9/16,YoY,F,Dirksen,Chicago,Collision - building,Released
2016-07583,Sora,09.09.2016,9/9/16,YoY,UNK,Arcade Alley,Chicago,Collision - building,Released
2016-07584,Common Yellowthroat,09.09.2016,9/9/16,YoY,UNK,233 Michigan Plaza,Chicago,Collision - building,Released
2016-07585,Ovenbird,09.09.2016,9/9/16,A,UNK,100 S. Wacker,Chicago,Collision - building,Released
2016-07586,Common Yellowthroat,09.09.2016,9/9/16,YoY,UNK,200 W. Calhoun,Chicago,Collision - building,Released
2016-07587,American Goldfinch,09.09.2016,9/9/16,A,M,,Chicago,Collision - building,Released
2016-07588,Common Yellowthroat,09.09.2016,9/9/16,YoY,UNK,300 N. Canal,Chicago,Collision - building,Released
2016-07589,Red-breasted Nuthatch,09.09.2016,9/9/16,A,M,30 N. LaSalle,Chicago,Collision - building,Released
2016-07590,Wilson's Warbler,09.09.2016,9/9/16,A,M,160 N. Wacker,Chicago,Collision - building,Released
2016-07591,American Redstart,09.09.2016,9/9/16,YoY,UNK,230 W. Monroe,Chicago,Collision - building,Released
2016-07592,Yellow-bellied Cuckoo,09.09.2016,9/9/16,YoY,UNK,150 S. Wacker,Chicago,Collision - building,Released
2016-07593,American Redstart,09.09.2016,9/9/16,A,F,Willis Tower,Chicago,Collision - building,Released
2016-07594,Tennessee Warbler,09.09.2016,9/9/16,YoY,UNK,412 N. Carpenter,Chicago,Collision - building,Released
2016-07603,Great Horned Owl,10.09.2016,9/9/16,UNK,UNK,104 E Oltendorf Road,Streamwood,Unknown,Euthanized within 24 hour of admit
2016-07627,Swainson's Thrush,10.09.2016,9/10/16 7:30 AM,A,UNK,"71 S Wacker, SE corner",Chicago,Unknown,Died within 24 hours
2016-07628,Common Yellowthroat,10.09.2016,9/10/16  6:10 AM,YoY,UNK,"Prudential Tower 2, NW corner",Chicago,Collision - building,Died within 24 hours
2016-07629,Ovenbird,10.09.2016,9/10/16  7:15 AM,A,UNK,"200 W Monroe, SE Corner",Chicago,Unknown,Released
2016-07630,Swainson's Thrush,10.09.2016,9/10/16 6:10 AM,A,UNK,"Clark & Van Buren, SE corner",Chicago,Unknown,Released
2016-07631,Swainson's Thrush,10.09.2016,9/9/16 5 PM,A,UNK,641 W Lake,Chicago,Collision - building,Released
2016-07637,Golden-crowned Kinglet,10.09.2016,9/10/16 5:50 AM,A,UNK,Willis Tower -SW,Chicago,Collision - building,Released
2016-07638,Ovenbird,10.09.2016,9/10/16 7 AM,A,UNK,311 S Wacker - N,Chicago,Collision - building,Released
2016-07639,Swainson's Thrush,10.09.2016,9/10/16,A,UNK,235 N Michigan Ave. - N,Chicago,Collision - building,Released
2016-07640,Virginia Rail,10.09.2016,9/9/16 8 PM,A,UNK,"300 W Adams, E Side",Chicago,Collision - building,Released
2016-07641,American Redstart,10.09.2016,9/10/16 6:40 AM,YoY,M,"101 N WAcker, W Side",Chicago,Collision - building,Released
2016-07642,Magnolia Warbler,10.09.2016,9/10/16 6:45 AM,A,M,"30 S Wacker, SE Side",Chicago,Collision - building,Released
2016-07643,Ovenbird,10.09.2016,9/10/16  8:20 AM,A,UNK,"Franklin Center, W side",Chicago,Collision - building,Released
2016-07644,Pine Warbler,10.09.2016,9/9/16 12 PM,YoY,UNK,"Willis, near revolving doors, E",Chicago,Collision - building,Released
2016-07645,American Redstart,10.09.2016,9/10/16 7:25 AM,YoY,F,"230 W Monroe, W Side",Chicago,Collision - building,Released
2016-07646,Common Yellowthroat,10.09.2016,9/10/16  6:15 AM,YoY,UNK,"1 S Wacker, N Side",Chicago,Collision - building,Released
2016-07647,Tennessee Warbler,10.09.2016,9/10/16 6:50 AM,YoY,UNK,"353 N Clark, S Side",Chicago,Collision - building,Released
2016-07648,Bay-breasted Warbler,10.09.2016,9/10/16  7:35 AM,YoY,UNK,"233 N Michigan, N Side",Chicago,Collision - building,Released
2016-07658,Palm Warbler,11.09.2016,9/10/16 12 PM,A,UNK,Wild Wood Nature Center,Park Ridge,Collision - window,Died within 24 hours
2016-07674,Ovenbird,11.09.2016,9/11/16 9:30 AM,A,UNK,Willis West Attrium - N,Chicago,Collision - window,Released
2016-07676,Golden-crowned Kinglet,11.09.2016,9/11/16 10:55 AM,A,UNK,150 S Wacker - E,Chicago,Collision - window,Released
2016-07677,Ovenbird,11.09.2016,9/11/16 6:32 AM,A,UNK,100 Benton - N,Chicago,Collision - window,Released
2016-07678,Ovenbird,11.09.2016,9/11/16 6:20 AM,A,UNK,111 S Wacker - N,Chicago,Collision - window,Released
2016-07679,Ovenbird,11.09.2016,9/11/16 12:30 PM,A,UNK,10 E Oak St. - S,Chicago,Collision - window,Released
2016-07681,Yellow-bellied Cuckoo,11.09.2016,9/11/16 8:30 AM,A,UNK,4630 N Milwaukee,Chicago,Collision - building,Died within 24 hours
2016-07682,Ovenbird,11.09.2016,9/11/16 10:45 AM,YoY,UNK,"150 S Wacker, S Side, in lobby",Chicago,Collision - building,Released
2016-07683,Ovenbird,11.09.2016,9/11/16  6:30 AM,UNK,UNK,"Willis, E Side",Chicago,Collision - building,Released
2016-07686,Black-throated Blue Warbler,11.09.2016,9/11/16 5:45 AM,YoY,M,230 W Monroe,Chicago,Collision - building,Died within 24 hours
2016-07687,Canada Goose,11.09.2016,9/10/16 9 PM,A,UNK,,Niles,Unknown,Euthanized within 24 hour of admit
2016-07691,Yellow-shafted Flicker,12.09.2016,9/11/16 11:50 AM,YoY,M,125 S. Wacker (S sd),Chicago,Collision - building,Released
2016-07692,Swainson's Thrush,12.09.2016,9/11/16 7:37 AM,YoY,UNK,Swissotel,Chicago,Collision - building,Released
2016-07693,Swainson's Thrush,12.09.2016,9/11/16 6:32 AM,A,UNK,111 E Wacker (E sd),Chicago,Collision - building,Released
2016-07694,Nashville Warbler,12.09.2016,9/11/16 7:15 AM,A,F,Hyatt Center (S sd),Chicago,Collision - building,Released
2016-07695,Nashville Warbler,12.09.2016,9/11/16 7:45 AM,YoY,F,311 S. Wacker (W sd),Chicago,Collision - building,Released
2016-07696,Ovenbird,12.09.2016,9/11/16 6:50 AM,A,UNK,Arcade Alley,Chicago,Collision - building,Released
2016-07697,Ovenbird,12.09.2016,9/11/16 6:20 AM,A,UNK,101 N. Wacker (W sd),Chicago,Collision - building,Released
2016-07700,Yellow Warbler,12.09.2016,9/11/16 7:37 AM,A,F,Swissotel,Chicago,Collision - building,Released
2016-07701,Common Yellowthroat,12.09.2016,9/11/16 2 PM,A,F,CBOT (E sd),Chicago,Collision - building,Released
2016-07702,Blackpoll Warbler,12.09.2016,9/11/16 7 AM,YoY,UNK,Hyatt Center (S sd),Chicago,Collision - building,Released
2016-07703,Magnolia Warbler,12.09.2016,9/11/16 6:50 AM,UNK,UNK,311 S. Wacker,Chicago,Collision - building,Released
2016-07704,Sora,12.09.2016,9/11/16 6:20 AM,YoY,UNK,311 S Wacker (N sd),Chicago,Collision - building,Released
2016-07705,Yellow-bellied Sapsucker,12.09.2016,9/11/16 8:09 AM,YoY,F,900 S. Clark (E sd),Chicago,Collision - building,Released
2016-07707,Swainson's Thrush,12.09.2016,9/11/16 4:30 PM,A,UNK,747 CHilton Ln,Wilmette,Collision - window,Died after 24 hrs
2016-07711,Yellow-shafted Flicker,12.09.2016,9/12/16 10 AM,A,M,25 E. Superior (44th pl balc),Chicago,Collision - building,Released
2016-07712,Tennessee Warbler,12.09.2016,9/12/16 7:10 AM,UNK,UNK,123 N. Wacker,Chicago,Collision - building,Died after 24 hrs
2016-07713,Connecticut Warbler,12.09.2016,9/12/16,A,UNK,10 S. Wacker (N sd),Chicago,Collision - building,Died within 24 hours
2016-07717,Cooper's Hawk,12.09.2016,9/12/16 9 AM,YoY,UNK,2136 N. St. Louis,Chicago,Unknown,Euthanized after 24 hours
